IC,LF
11.662751518779526,212.63813520237187
22.975256355141088,136.63631101803225
20.779727222145816,138.57018358577233
13.09036471112937,211.6694457104129
17.960833780244535,145.54461419315695
22.99725688082138,134.3288803966908
20.501054371041327,140.92975295047427
16.86920318003165,145.54461419315697
14.785856730342973,173.73542399329352
24.605861859662284,132.85979608630024
14.78850246950547,170.93495319493786
24.62833802179513,132.72944703076118
18.27786046429968,141.95311920560596
15.342975123512161,169.12056275061084
16.39421341065922,152.77002761989206
13.193614453631326,178.35028523597614
18.57749641315129,140.92975295047432
14.993531675229828,169.12056275061087
25.20560394447257,132.72944703076115
24.200676821373044,133.8831623414318
13.855812865329618,178.35028523597612
15.441962318548214,169.1205627506108
13.926893615887318,178.35028523597606
18.577496413150016,140.9297529504744
